,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
72,IL,288815.0,5142362.0,5431177.0,,,8832.0,,5431177,2020-09-26,Illinois,40.349457,-88.986137
73,IN,116549.0,1233841.0,1350390.0,12521.0,92306.0,3577.0,12521.0,1350390,2020-09-26,Indiana,39.849426,-86.258278
74,KS,56592.0,446178.0,502770.0,2816.0,2039.0,632.0,2816.0,502770,2020-09-26,Kansas,38.5266,-96.726486
75,KY,66036.0,1216560.0,1274688.0,5193.0,11750.0,1154.0,5193.0,1282596,2020-09-26,Kentucky,37.66814,-84.670067
76,LA,165152.0,2090913.0,2256065.0,,149640.0,5444.0,,2256065,2020-09-26,Louisiana,31.169546,-91.867805
77,MA,130050.0,2046728.0,3780020.0,12637.0,111479.0,9391.0,12637.0,2176778,2020-09-26,Massachusetts,42.230171,-71.530106
78,MD,122972.0,1461328.0,1584300.0,15382.0,7458.0,3925.0,15382.0,1584300,2020-09-26,Maryland,39.063946,-76.802101
79,ME,5260.0,401159.0,406419.0,443.0,4538.0,140.0,443.0,406419,2020-09-26,Maine,44.693947,-69.381927
80,MI,134373.0,3408684.0,3543057.0,,95051.0,7044.0,,3543057,2020-09-26,Michigan,43.326618,-84.536095
81,MN,95659.0,1273023.0,1954715.0,7443.0,85259.0,2056.0,7443.0,1368682,2020-09-26,Minnesota,45.694454,-93.900192
82,MO,122014.0,1167155.0,1289169.0,,,2063.0,,1289169,2020-09-26,Missouri,38.456085,-92.288368
83,MP,69.0,14776.0,14845.0,4.0,29.0,2.0,4.0,14845,2020-09-26,Northern Mariana Islands,15.09,145.67
84,MS,96677.0,634036.0,730713.0,5607.0,85327.0,2911.0,5607.0,730713,2020-09-26,Mississippi,32.741646,-89.678696
85,MT,11907.0,317378.0,329285.0,684.0,8749.0,171.0,684.0,329285,2020-09-26,Montana,46.921925,-110.454353
86,NC,206090.0,2741713.0,2947803.0,,176422.0,3440.0,,2947803,2020-09-26,North Carolina,35.630066,-79.806419
87,ND,20380.0,215849.0,594628.0,809.0,16481.0,156.0,809.0,236229,2020-09-26,North Dakota,47.528912,-99.784012
88,NE,43162.0,397483.0,440645.0,2276.0,32238.0,468.0,2276.0,440645,2020-09-26,Nebraska,41.12537,-98.268082
89,NH,8121.0,257257.0,422591.0,734.0,7379.0,439.0,734.0,265378,2020-09-26,New Hampshire,43.452492,-71.563896
90,NJ,202850.0,3309718.0,3512568.0,23324.0,34650.0,16103.0,23324.0,3512568,2020-09-26,New Jersey,40.298904,-74.521011
91,NM,28487.0,865002.0,893489.0,3420.0,16020.0,865.0,3420.0,893489,2020-09-26,New Mexico,34.840515,-106.248482
92,NV,78355.0,607323.0,685678.0,,2075.0,1582.0,,685678,2020-09-26,Nevada,38.313515,-117.055374
93,NY,454760.0,9968656.0,10423416.0,89995.0,76528.0,25450.0,89995.0,10423416,2020-09-26,New York,42.165726,-74.948051
94,OH,150009.0,2883978.0,3033987.0,15185.0,129498.0,4740.0,15185.0,3033987,2020-09-26,Ohio,40.388783,-82.764915
95,OK,83510.0,1075475.0,1158985.0,6252.0,69754.0,1004.0,6252.0,1165638,2020-09-26,Oklahoma,35.565342,-96.928917
96,OR,32581.0,636090.0,668671.0,2496.0,5490.0,546.0,2496.0,668671,2020-09-26,Oregon,44.572021,-122.070938
97,PA,155232.0,1830292.0,1985524.0,,127290.0,8103.0,,1985524,2020-09-26,Pennsylvania,40.590752,-77.209755
98,PR,45413.0,305972.0,351385.0,,,642.0,,351385,2020-09-26,Puerto Rico,18.22,-66.3
99,RI,24181.0,305853.0,727469.0,2725.0,2278.0,1107.0,2725.0,330034,2020-09-26,Rhode Island,41.680893,-71.51178
100,SC,145273.0,1097524.0,1242797.0,9028.0,69629.0,3323.0,9028.0,1242797,2020-09-26,South Carolina,33.856892,-80.945007
101,SD,21133.0,165001.0,186134.0,1434.0,17173.0,218.0,1434.0,186134,2020-09-26,South Dakota,44.299782,-99.438828
102,TN,190891.0,2598988.0,2789879.0,8528.0,174044.0,2374.0,8528.0,2789879,2020-09-26,Tennessee,35.747845,-86.692345
103,TX,733438.0,5261375.0,5994813.0,,649580.0,15485.0,,5994813,2020-09-26,Texas,31.054487,-97.563461
104,UT,69547.0,735532.0,805079.0,3702.0,53806.0,448.0,3702.0,805079,2020-09-26,Utah,40.150032,-111.862434
105,VA,145408.0,1855171.0,1993344.0,18179.0,17255.0,3144.0,18179.0,2000889,2020-09-26,Virginia,37.769337,-78.169968
